The bus ID,Name of bus station,longitude,latitude,
240393,高升村南,113021579,28114910,
240078,高升村南,113021487,28114657,
240090,高升村南,113021519,28114685,
240389,高升村南,113021549,28114670,
240100,高升村南,113021423,28114630,
240075,高升村南,113021609,28114440,
240096,高升村南,113021330,28114655,
240061,高升村南,113021470,28114475,
240072,高升村南,113021640,28114800,
240086,高升村南,113021330,28114710,
240066,高升村南,113021550,28114550,
240207,高升村南,113021402,28114608,
240092,高升村南,113021360,28114570,
240095,高升村南,113021610,28114610,
240080,高升村南,113021433,28114610,
240390,高升村南,113021443,28114633,
240093,高升村南,113021330,28114545,
240073,高升村南,113021640,28114660,
240208,高升村南,113021372,28114620,
240089,高升村南,113021486,28114703,
240099,高升村南,113021470,28114595,
240063,高升村南,113021470,28114670,
240071,高升村南,113021519,28114190,
240085,高升村南,113021383,28114547,
240087,高升村南,113021330,28114740,
240074,高升村南,113021550,28114630,
240091,高升村南,113021579,28114600,
240098,高升村南,113021550,28114575,
240101,高升村南,113021383,28114593,
240065,红星村南,113019360,28120326,
240079,红星村南,113019390,28120326,
240071,红星村南,113019249,28120376,
240389,红星村南,113018829,28120656,
240061,红星村南,113019000,28120576,
240080,红星村南,113018659,28120856,
240063,红星村南,113019080,28120546,
240098,红星村南,113018749,28120546,
240209,红星村南,112985436,28088353,
240066,红星村南,113018969,28120626,
240069,红星村南,113018860,28120626,
240074,红星村南,113018770,28120856,
240075,红星村南,113018910,28120686,
240390,红星村南,113018969,28120716,
240062,红星村南,113019019,28120656,
240208,红星村南,113019249,28120436,
240076,红星村南,113019270,28120486,
240100,红星村南,113018940,28120656,
240072,红星村南,113018860,28120716,
240067,红星村南,113018969,28120686,
240393,红星村南,113019159,28120606,
240070,红星村南,113019000,28120626,
240077,红星村南,113019140,28120486,
240210,红星村南,113019360,28120356,
240101,红星村南,113018910,28120356,
240207,红星村南,113019019,28120626,
240099,红星村南,113018829,28120796,
240078,红星村南,113019249,28120436,
240073,红星村南,113018910,28120686,
240064,红星村南,113019329,28120356,
240092,红星村南,113019050,28120656,
240094,红星村南,113019159,28120466,
240089,红星村南,113018690,28120826,
240091,红星村南,113019000,28120606,
240085,红星村南,113019140,28120546,
240093,红星村南,113019109,28120406,
240087,红星村南,113019189,28120296,
240096,红星村南,113019000,28120716,
240081,红星村南,113019140,28120466,
240097,红星村南,113019189,28120486,
240084,红星村南,113019189,28120466,
240095,红星村南,113018500,28120656,
240090,红星村南,113019000,28120656,
240086,红星村南,113018910,28120686,
240086,湘府中学,112998328,28081211,
240062,湘府中学,112998358,28081241,
240092,湘府中学,112998340,28081176,
240098,湘府中学,112998383,28081226,
240072,湘府中学,112998443,28081356,
240080,湘府中学,112998493,28081356,
240061,湘府中学,112998243,28080986,
240093,湘府中学,112998286,28081159,
240081,湘府中学,112998403,28081276,
240079,湘府中学,112998460,28081129,
240074,湘府中学,112998273,28081106,
240063,湘府中学,112998333,28081216,
240100,湘府中学,112998103,28080936,
240099,湘府中学,112998273,28081016,
240096,湘府中学,112998328,28081226,
240097,湘府中学,112998493,28081316,
240101,湘府中学,112998343,28081176,
240078,湘府中学,112998498,28081366,
240075,湘府中学,112998603,28081406,
240085,湘府中学,112998443,28081296,
240393,湘府中学,112998413,28081156,
240084,湘府中学,112998273,28081101,
240208,湘府中学,112998243,28081126,
240076,湘府中学,112998333,28081126,
240077,湘府中学,112998413,28081236,
240207,湘府中学,112998350,28081186,
240065,湘府中学,112998523,28081356,
240073,湘府中学,112998473,28081266,
240067,湘府中学,112998383,28081156,
240094,湘府中学,112998453,28081216,
240210,湘府中学,112998523,28081326,
240070,湘府中学,112998473,28081156,
240091,湘府中学,112998486,28081316,
240066,湘府中学,112998288,28081131,
240071,湘府中学,112998663,28081376,
240090,湘府中学,112998203,28081116,
240089,湘府中学,112998303,28081106,
240209,湘府中学,112985436,28088353,
240389,湘府中学,112998400,28081171,
240087,湘府中学,112998318,28081281,
240095,湘府中学,112998353,28081266,
240390,湘府中学,112998356,28081103,
240064,湘府中学,112998458,28081356,
240069,湘府中学,112998423,28081296,
240393,井湾子北,113011493,28132046,
240099,井湾子北,113011486,28132166,
240089,井湾子北,113011223,28132126,
240077,井湾子北,113011693,28132156,
240078,井湾子北,113011603,28131856,
240090,井湾子北,113011553,28132156,
240062,井湾子北,113011473,28132223,
240094,井湾子北,113011450,28132066,
240208,井湾子北,113011473,28132236,
240101,井湾子北,113011486,28132156,
240061,井湾子北,113011473,28132356,
240071,井湾子北,113011603,28132076,
240070,井湾子北,113011518,28132128,
240085,井湾子北,113011163,28132216,
240092,井湾子北,113011523,28132186,
240087,井湾子北,113011303,28132126,
240095,井湾子北,113011133,28132156,
240097,井湾子北,113011413,28132101,
240064,井湾子北,113011413,28131906,
240084,井湾子北,113011428,28132141,
240079,井湾子北,113011373,28132171,
240066,井湾子北,113011593,28132086,
240390,井湾子北,113011607,28132107,
240073,井湾子北,113011693,28132016,
240080,井湾子北,113011606,28132009,
240098,井湾子北,113011333,28132126,
240207,井湾子北,113011538,28132126,
240081,井湾子北,113011428,28132226,
240067,井湾子北,113011578,28132186,
240086,井湾子北,113011498,28132181,
240210,井湾子北,113011583,28132126,
240093,井湾子北,113011546,28132111,
240072,井湾子北,113011513,28132226,
240063,井湾子北,113011453,28132091,
240389,井湾子北,113011453,28132231,
240075,井湾子北,113011410,28132166,
240091,井湾子北,113011366,28132173,
240100,井湾子北,113011443,28132436,
240069,井湾子北,113011603,28131906,
240096,井湾子北,113011383,28132186,
240209,井湾子北,112985436,28088353,
240074,井湾子北,113011553,28132046,
240076,井湾子北,113011450,28132129,
240065,井湾子北,113011133,28132156,
222187,黄土岭南,113002783,28078456,
222165,黄土岭南,113003283,28078326,
222163,黄土岭南,113001913,28078296,
222188,黄土岭南,113012250,28078076,
222173,黄土岭南,112995026,28141853,
222184,黄土岭南,113042166,28098513,
222182,黄土岭南,113027920,28129236,
222175,黄土岭南,112993086,28150353,
222177,黄土岭南,112992246,28167019,
222167,黄土岭南,113043806,28103880,
222178,黄土岭南,113001533,28078206,
222162,黄土岭南,113003533,28078326,
222170,黄土岭南,113003053,28078266,
222180,黄土岭南,112991306,28160269,
222186,黄土岭南,113037056,28081296,
222176,黄土岭南,113002553,28078186,
222174,黄土岭南,113032006,28081406,
222161,黄土岭南,113003143,28078266,
222172,黄土岭南,113011083,28133736,
222185,黄土岭南,113042366,28097823,
222168,黄土岭南,113001553,28078216,
222181,黄土岭南,112992726,28149513,
222160,黄土岭南,113042026,28097603,
222183,黄土岭南,113037476,28117130,
222179,黄土岭南,113001803,28078206,
222173,浦沅,112995026,28141853,
222167,浦沅,113043806,28103880,
222187,浦沅,113002783,28078456,
222169,浦沅,113027890,28129076,
222178,浦沅,113001533,28078206,
222161,浦沅,113003143,28078266,
222184,浦沅,113042166,28098513,
222176,浦沅,113002553,28078186,
222185,浦沅,113042366,28097823,
222168,浦沅,113001553,28078216,
222172,浦沅,113011083,28133736,
222165,浦沅,113003283,28078326,
222163,浦沅,113001913,28078296,
222183,浦沅,113037476,28117130,
222179,浦沅,113001803,28078206,
222181,浦沅,112992726,28149513,
222177,浦沅,112992246,28167019,
222170,浦沅,113003053,28078266,
222182,浦沅,113027920,28129236,
222162,浦沅,113003533,28078326,
222174,浦沅,113032006,28081406,
222186,浦沅,113037056,28081296,
222188,浦沅,113012250,28078076,
222180,浦沅,112991306,28160269,
222175,浦沅,112993086,28150353,
222160,浦沅,113042026,28097603,
222181,林大路青园路口,112992726,28149513,
222172,林大路青园路口,113011083,28133736,
222178,林大路青园路口,113001533,28078206,
222165,林大路青园路口,113003283,28078326,
222161,林大路青园路口,113003143,28078266,
222177,林大路青园路口,112992246,28167019,
222174,林大路青园路口,113032006,28081406,
222168,林大路青园路口,113001553,28078216,
222180,林大路青园路口,112991306,28160269,
222184,林大路青园路口,113042166,28098513,
222179,林大路青园路口,113001803,28078206,
222169,林大路青园路口,113027890,28129076,
222162,林大路青园路口,113003533,28078326,
222163,林大路青园路口,113001913,28078296,
222160,林大路青园路口,113042026,28097603,
222175,林大路青园路口,112993086,28150353,
222167,林大路青园路口,113043806,28103880,
222173,林大路青园路口,112995026,28141853,
222185,林大路青园路口,113042366,28097823,
222183,林大路青园路口,113037476,28117130,
222187,林大路青园路口,113002783,28078456,
222188,林大路青园路口,113012250,28078076,
222176,林大路青园路口,113002553,28078186,
222170,林大路青园路口,113003053,28078266,
222186,林大路青园路口,113037056,28081296,
222182,林大路青园路口,113027920,28129236,
222178,天际岭隧道北,113001533,28078206,
222177,天际岭隧道北,112992246,28167019,
222188,天际岭隧道北,113012250,28078076,
222187,天际岭隧道北,113002783,28078456,
222184,天际岭隧道北,113042166,28098513,
222165,天际岭隧道北,113003283,28078326,
222167,天际岭隧道北,113043806,28103880,
222180,天际岭隧道北,112991306,28160269,
222168,天际岭隧道北,113001553,28078216,
222163,天际岭隧道北,113001913,28078296,
222169,天际岭隧道北,113027890,28129076,
222186,天际岭隧道北,113037056,28081296,
222181,天际岭隧道北,112992726,28149513,
222170,天际岭隧道北,113003053,28078266,
222172,天际岭隧道北,113011083,28133736,
222176,天际岭隧道北,113002553,28078186,
222179,天际岭隧道北,113001803,28078206,
222185,天际岭隧道北,113042366,28097823,
222160,天际岭隧道北,113042026,28097603,
222174,天际岭隧道北,113032006,28081406,
222183,天际岭隧道北,113037476,28117130,
222162,天际岭隧道北,113003533,28078326,
222182,天际岭隧道北,113027920,28129236,
222175,天际岭隧道北,112993086,28150353,
222161,天际岭隧道北,113003143,28078266,
222173,天际岭隧道北,112995026,28141853,
222186,桃阳村,113037056,28081296,
222175,桃阳村,112993086,28150353,
222178,桃阳村,113001533,28078206,
222161,桃阳村,113003143,28078266,
222174,桃阳村,113032006,28081406,
222165,桃阳村,113003283,28078326,
222177,桃阳村,112992246,28167019,
222187,桃阳村,113002783,28078456,
222160,桃阳村,113042026,28097603,
222167,桃阳村,113043806,28103880,
222182,桃阳村,113027920,28129236,
222185,桃阳村,113042366,28097823,
222168,桃阳村,113001553,28078216,
222181,桃阳村,112992726,28149513,
222179,桃阳村,113001803,28078206,
222173,桃阳村,112995026,28141853,
222184,桃阳村,113042166,28098513,
222170,桃阳村,113003053,28078266,
222188,桃阳村,113012250,28078076,
222162,桃阳村,113003533,28078326,
222172,桃阳村,113011083,28133736,
222176,桃阳村,113002553,28078186,
222180,桃阳村,112991306,28160269,
222163,桃阳村,113001913,28078296,
222183,桃阳村,113037476,28117130,
222169,桃阳村,113027890,28129076,
